Seconds,Paging_Process
0,3120
1,4140
2,3660
3,3240
4,3900
5,3540
6,3720
7,2700
8,3180
9,4380
10,3540
11,3900
12,4260
13,4080
14,3720
15,3300
16,4860
17,4200
18,3420
19,3480
20,3600
21,3240
22,3360
23,3600
24,3780
25,3420
26,4380
27,3720
28,3300
29,3480
30,3180
31,3000
32,4200
33,3780
34,3600
35,3960
36,4200
37,3540
38,3480
39,3180
40,4380
41,3780
42,3420
43,3180
44,3540
45,3180
46,3900
47,3480
48,3360
49,3420
50,3420
51,3720
52,4080
53,3780
54,2940
55,4080
56,4260
57,3960
58,3060
59,3780
60,4380
61,3840
62,4080
63,4140
64,3780
65,4380
66,4260
67,2940
68,3900
69,3660
70,3300
71,2940
72,5280
73,3780
74,3240
75,3120
76,4740
77,4440
78,3180
79,4440
80,2760
81,4620
82,4080
83,4140
84,2820
85,3360
86,4200
87,4020
88,3900
89,3840
90,3420
91,4140
92,3720
93,3540
94,3660
95,3360
96,4020
97,3660
98,3060
99,4140
100,3660
101,4080
102,3480
103,3780
104,3660
105,3420
106,4080
107,3780
108,3420
109,3840
110,4080
111,4440
112,4740
113,4260
114,3840
115,3720
116,3960
117,4020
118,2760
119,3120
120,4020
121,3480
122,3660
123,3720
124,2880
125,3900
126,2880
127,3780
128,3360
129,3600
130,3720
131,3720
132,4680
133,3780
134,3300
135,4440
136,3660
137,2700
138,4200
139,4260
140,4320
141,3660
142,4440
143,4080
144,3660
145,3840
146,3840
147,3720
148,3480
149,3900
150,3180
151,4320
152,4560
153,3240
154,3900
155,3240
156,3000
157,3420
158,3840
159,3540
160,3060
161,3480
162,4920
163,3660
164,4080
165,3240
166,4020
167,4740
168,3600
169,3660
170,3660
171,3660
172,4320
173,4200
174,3720
175,3420
176,4020
177,3900
178,3240
179,3420
180,4020
181,3720
182,3720
183,3660
184,3000
185,4200
186,3960
187,3600
188,3300
189,3540
190,3780
191,4320
192,3360
193,4260
194,3480
195,3660
196,3480
197,2880
198,3720
199,3000
200,3720
201,2820
202,2820
203,3840
204,3300
205,3540
206,3900
207,4020
208,3420
209,3240
210,3600
211,4380
212,4260
213,4500
214,2880
215,4020
216,3960
217,4140
218,3660
219,3840
220,3900
221,3060
222,3840
223,3720
224,3480
225,3420
226,4320
227,4380
228,3840
229,3780
230,3540
231,3060
232,3660
233,4200
234,3480
235,4500
236,3960
237,3120
238,3360
239,4500
240,4320
241,3720
242,3480
243,3720
244,2700
245,3720
246,3960
247,3300
248,4020
249,2700
250,3780
251,4320
252,3720
253,4500
254,3660
255,3120
256,4440
257,4020
258,4380
259,4560
260,3120
261,3900
262,3840
263,2940
264,3120
265,3240
266,3600
267,3300
268,3600
269,3360
270,4080
271,3780
272,3600
273,3420
274,3600
275,3720
276,3300
277,3900
278,3900
279,2640
280,4080
281,4080
282,3480
283,4140
284,2640
285,3660
286,3180
287,4080
288,4380
289,4260
290,3660
291,3420
292,4080
293,4020
294,3780
295,3120
296,3840
297,4020
298,3600
299,3300
300,3240
301,3900
302,3900
303,4260
304,2940
305,3720
306,3180
307,4020
308,3960
309,3900
310,3300
311,3120
312,3660
313,3480
314,3780
315,4080
316,3300
317,3660
318,3540
319,3780
320,3900
321,3180
322,4320
323,3000
324,3720
325,3660
326,4140
327,4080
328,3840
329,3660
330,3600
331,3360
332,4080
333,4980
334,4140
335,3180
336,3900
337,3480
338,3720
339,4080
340,3900
341,4080
342,3600
343,3240
344,3780
345,4140
346,3540
347,3420
348,3060
349,3480
350,3660
351,4380
352,3720
353,3060
354,3600
355,4380
356,3900
357,4260
358,3480
359,3600
360,3660
361,4080
362,3660
363,3420
364,2940
365,3300
366,3420
367,3960
368,3720
369,3420
370,3840
371,4140
372,3540
373,3360
374,3660
375,3960
376,3540
377,3300
378,3060
379,3420
380,3240
381,3900
382,3660
383,3660
384,4440
385,3660
386,4200
387,3420
388,3540
389,2700
390,3120
391,3720
392,4080
393,3720
394,3540
395,3900
396,4260
397,4380
398,3300
399,3780
400,3780
401,3600
402,3420
403,3960
404,4140
405,3840
406,3600
407,3480
408,3960
409,3240
410,3360
411,3300
412,3780
413,4260
414,3300
415,3120
416,3840
417,4260
418,3420
419,3420
420,3180
421,3480
422,3900
423,3060
424,3960
425,3120
426,3600
427,3840
428,4680
429,4680
430,3180
431,3720
432,3960
433,3600
434,4200
435,3420
436,3180
437,2700
438,4380
439,4260
440,4140
441,3960
442,3780
443,3900
444,3300
445,3240
446,3420
447,3660
448,3300
449,3180
450,3900
451,4200
452,3480
453,4380
454,4200
455,3660
456,4140
457,2820
458,4260
459,3900
460,3600
461,3840
462,3180
463,4320
464,3960
465,4380
466,3720
467,3840
468,4740
469,3960
470,4380
471,3540
472,4620
473,4080
474,4260
475,4140
476,3780
477,4320
478,3720
479,3480
480,3720
481,3420
482,3480
483,3960
484,3120
485,4260
486,4200
487,3360
488,3480
489,3420
490,3780
491,3720
492,3900
493,4260
494,3420
495,3480
496,4500
497,3420
498,3120
499,3780
500,2760
501,3060
502,3300
503,3780
504,3240
505,3900
506,3240
507,3960
508,2760
509,3720
510,3720
511,4020
512,3600
513,3720
514,3900
515,4680
516,3780
517,3600
518,3060
519,3900
520,4500
521,3960
522,4200
523,3360
524,3900
525,4380
526,4020
527,3480
528,3960
529,3780
530,3420
531,3420
532,2880
533,4080
534,4200
535,4020
536,3240
537,3240
538,4620
539,3660
540,4500
541,2940
542,2760
543,4020
544,3540
545,4020
546,3840
547,4560
548,3720
549,3780
550,3540
551,3900
552,3420
553,3180
554,3360
555,3300
556,3840
557,4620
558,3960
559,3780
560,2820
561,3900
562,3120
563,3600
564,3300
565,3480
566,3900
567,3900
568,4320
569,3000
570,3960
571,3600
572,4260
573,3420
574,3120
575,3240
576,4020
577,3720
578,3720
579,3480
580,3960
581,3660
582,4200
583,3240
584,3960
585,3840
586,4080
587,4260
588,4500
589,3960
590,3300
591,3660
592,3960
593,4200
594,3840
595,4440
596,4200
597,3960
598,2760
599,3300
600,3000
601,4080
602,3540
603,4020
604,3420
605,4200
606,3600
607,4140
608,4020
609,3480
610,3600
611,3720
612,4200
613,4500
614,3420
615,3660
616,3720
617,3360
618,4140
619,4140
620,3120
621,4260
622,4320
623,3180
624,3540
625,3180
626,3300
627,3240
628,3540
629,2700
630,3540
631,4260
632,3600
633,5340
634,3300
635,4200
636,3660
637,4920
638,4020
639,4020
640,3600
641,3900
642,4560
643,5100
644,3360
645,3840
646,3300
647,3240
648,2220
649,3780
650,3420
651,3060
652,3780
653,3960
654,3660
655,4020
656,4320
657,3840
658,3540
659,2820
660,3720
661,3840
662,4140
663,3660
664,3180
665,2880
666,3180
667,2940
668,3660
669,2940
670,3060
671,4020
672,3840
673,4080
674,3660
675,4440
676,3660
677,3840
678,3480
679,3720
680,2460
681,4620
682,3480
683,2640
684,5100
685,3600
686,3060
687,3060
688,3540
689,3180
690,3840
691,4260
692,4140
693,3360
694,4080
695,3480
696,3720
697,4500
698,3480
699,3720
700,3540
701,3600
702,3060
703,3240
704,3000
705,3420
706,3960
707,3480
708,4380
709,3300
710,3900
711,3240
712,3720
713,3300
714,4500
715,3840
716,3240
717,3480
718,3900
719,3060
720,3660
721,3960
722,4140
723,3660
724,2580
725,3360
726,4380
727,4080
728,3180
729,4200
730,3540
731,3900
732,3300
733,3780
734,4080
735,3720
736,4500
737,3660
738,3480
739,3540
740,4080
741,3660
742,3480
743,3480
744,4380
745,3840
746,3420
747,3240
748,3420
749,3360
750,3840
751,3780
752,3480
753,3180
754,3780
755,3360
756,4080
757,3600
758,3540
759,3660
760,4680
761,4140
762,4080
763,3420
764,3840
765,4080
766,3480
767,3540
768,3720
769,3540
770,4140
771,3180
772,4020
773,3060
774,3720
775,2820
776,3360
777,4140
778,3720
779,4020
780,4740
781,4140
782,3600
783,3540
784,3000
785,3540
786,3120
787,5100
788,3180
789,3480
790,4440
791,3420
792,4020
793,4020
794,3480
795,2760
796,4200
797,2760
798,3840
799,3480
800,3660
801,4800
802,3060
803,3840
804,4140
805,3420
806,3960
807,4080
808,3420
809,3060
810,3540
811,2220
812,3660
813,4140
814,3900
815,4020
816,3480
817,3480
818,3480
819,4980
820,3660
821,3240
822,4440
823,3780
824,3720
825,3720
826,4380
827,4200
828,2700
829,3840
830,3900
831,3540
832,3660
833,4020
834,3780
835,3360
836,4500
837,3780
838,3960
839,4260
840,3600
841,4200
842,3420
843,4140
844,3420
845,3480
846,3900
847,3300
848,4140
849,3660
850,4200
851,3720
852,4380
853,3480
854,3300
855,5880
856,3480
857,3840
858,3840
859,3600
860,3780
861,3360
862,3300
863,4620
864,3780
865,3360
866,3840
867,3840
868,3480
869,3000
870,3180
871,3540
872,2880
873,4140
874,3600
875,3480
876,4320
877,3660
878,3600
879,4080
880,3360
881,3420
882,3480
883,4500
884,3420
885,4440
886,3600
887,3780
888,3120
889,3000
890,3840
891,2220
892,4620
893,3600
894,2940
895,3540
896,3840
897,3420
898,3060
899,4560
900,4800
901,3600
902,3600
903,3300
904,3780
905,3480
906,3420
907,3540
908,4140
909,3600
910,3540
911,4020
912,3900
913,3180
914,3900
915,4500
916,3780
917,3600
918,4200
919,3600
920,4200
921,3780
922,3480
923,4020
924,4200
925,2880
926,3960
927,4140
928,3540
929,3180
930,3900
931,3240
932,4380
933,3660
934,3660
935,3540
936,3600
937,3780
938,3540
939,3480
940,3120
941,3540
942,3720
943,4980
944,3780
945,3600
946,3060
947,3060
948,3240
949,3600
950,3780
951,3360
952,3780
953,3360
954,3660
955,3600
956,3780
957,3840
958,3900
959,3420
960,3540
961,3960
962,3420
963,4200
964,3840
965,3120
966,3420
967,4140
968,3300
969,3480
970,3360
971,2940
972,3600
973,3300
974,3720
975,3900
976,3420
977,3480
978,3540
979,3600
980,3420
981,3540
982,4320
983,4080
984,3540
985,2400
986,3240
987,3540
988,3960
989,3840
990,4560
991,4380
992,3360
993,3360
994,3360
995,4080
996,3480
997,4020
998,3960
999,3720
1000,4320
1001,3600
1002,3840
1003,3600
1004,3900
1005,3120
1006,3300
1007,3600
1008,3060
1009,3900
1010,3000
1011,3720
1012,4140
1013,3780
1014,3840
1015,3720
1016,3960
1017,4440
1018,3300
1019,3600
1020,4380
1021,3600
1022,3780
1023,3240
1024,3960
1025,3360
1026,3360
1027,4500
1028,4140
1029,3600
1030,4320
1031,4320
1032,4440
1033,4080
1034,2880
1035,3480
1036,4200
1037,4380
1038,3720
1039,3300
1040,3900
1041,3480
1042,4140
1043,4080
1044,3780
1045,3000
1046,3660
1047,4500
1048,4020
1049,4440
1050,4260
1051,3540
1052,3180
1053,3960
1054,4140
1055,3180
1056,4140
1057,3600
1058,3480
1059,3540
1060,3240
1061,3720
1062,3780
1063,3780
1064,3480
1065,4680
1066,3720
1067,3660
1068,3360
1069,3000
1070,2940
1071,2880
1072,3900
1073,3600
1074,3840
1075,3660
1076,2820
1077,4020
1078,3600
1079,3660
1080,4200
1081,2940
1082,3000
1083,4200
1084,3480
1085,4140
1086,4140
1087,4140
1088,4080
1089,4080
1090,4200
1091,3300
1092,3720
1093,4020
1094,4440
1095,4140
1096,3120
1097,3300
1098,4440
1099,3780
1100,3420
1101,4140
1102,3720
1103,3180
1104,3360
1105,4200
1106,3780
1107,3240
1108,3180
1109,4380
1110,3600
1111,4680
1112,3300
1113,2940
1114,4260
1115,3900
1116,3180
1117,3900
1118,4080
1119,3720
1120,3540
1121,3360
1122,3660
1123,3300
1124,3180
1125,4380
1126,3840
1127,3660
1128,4020
1129,3600
1130,3300
1131,3060
1132,3600
1133,3660
1134,3120
1135,3660
1136,3060
1137,3900
1138,3660
1139,3180
1140,4500
1141,3900
1142,3360
1143,3360
1144,3660
1145,4380
1146,3120
1147,2820
1148,3420
1149,4200
1150,3960
1151,3300
1152,3660
1153,3720
1154,3300
1155,3060
1156,3120
1157,3900
1158,4440
1159,4260
1160,4200
1161,2760
1162,3540
1163,3780
1164,3000
1165,3600
1166,3840
1167,4500
1168,3480
1169,3420
1170,3840
1171,3780
1172,3900
1173,3360
1174,3240
1175,3840
1176,4200
1177,3720
1178,4020
1179,4140
1180,3780
1181,3000
1182,3600
1183,4020
1184,4620
1185,4020
1186,3960
1187,4020
1188,3540
1189,3900
1190,4140
1191,3720
1192,4260
1193,3180
1194,4200
1195,3900
1196,3780
1197,2880
1198,3720
1199,4500
1200,3120
1201,3120
1202,3480
1203,4200
1204,3600
1205,3900
1206,3840
1207,3840
1208,3780
1209,4260
1210,3480
1211,3600
1212,3300
1213,3060
1214,3480
1215,3840
1216,4140
1217,3180
1218,4800
1219,3660
1220,4080
1221,4380
1222,4140
1223,3720
1224,3360
1225,3660
1226,4200
1227,3240
1228,4080
1229,3960
1230,3480
1231,3540
1232,3840
1233,3360
1234,3420
1235,3420
1236,3180
1237,3300
1238,4260
1239,3480
1240,2880
1241,4560
1242,4260
1243,4500
1244,3720
1245,3600
1246,3180
1247,3300
1248,4080
1249,3540
1250,4320
1251,3240
1252,3300
1253,2640
1254,4380
1255,3360
1256,3000
1257,3300
1258,3660
1259,3780
1260,4320
1261,3720
1262,3420
1263,4320
1264,3780
1265,4020
1266,4380
1267,3480
1268,3720
1269,3000
1270,3120
1271,4500
1272,3780
1273,4020
1274,3540
1275,4080
1276,3000
1277,3060
1278,3600
1279,4620
1280,3660
1281,3180
1282,4200
1283,4080
1284,2940
1285,3600
1286,3900
1287,3660
1288,3000
1289,3420
1290,3780
1291,4080
1292,3240
1293,3960
1294,3180
1295,3300
1296,3060
1297,3780
1298,3540
1299,3060
1300,3660
1301,4260
1302,4020
1303,2940
1304,3000
1305,3000
1306,4620
1307,4080
1308,4080
1309,3180
1310,3660
1311,3300
1312,3600
1313,4140
1314,3600
1315,4620
1316,3360
1317,3540
1318,3840
1319,4080
1320,3600
1321,3540
1322,3540
1323,3480
1324,3540
1325,4200
1326,3780
1327,3660
1328,3240
1329,4380
1330,3420
1331,3900
1332,3360
1333,3480
1334,2040
1335,3720
1336,3540
1337,3720
1338,3540
1339,2940
1340,3120
1341,3240
1342,4200
1343,4260
1344,3840
1345,4800
1346,3540
1347,3900
1348,3300
1349,3360
1350,3300
1351,3420
1352,3240
1353,3540
1354,3660
1355,3600
1356,3840
1357,3780
1358,3780
1359,3300
1360,3780
1361,3720
1362,3840
1363,4380
1364,4080
1365,3360
1366,3480
1367,2880
1368,3480
1369,3720
1370,3240
1371,3000
1372,4260
1373,3360
1374,4860
1375,4080
1376,3540
1377,3660
1378,2880
1379,3180
1380,2940
1381,3420
1382,4200
1383,3780
1384,3660
1385,3240
1386,3360
1387,3360
1388,3840
1389,2880
1390,3540
1391,3720
1392,3660
1393,3900
1394,3780
1395,3600
1396,3360
1397,3720
1398,3600
1399,3840
1400,4440
1401,3900
1402,3240
1403,3120
1404,4080
1405,3840
1406,2820
1407,3480
1408,4020
1409,4320
1410,4140
1411,3720
1412,3780
1413,3300
1414,3540
1415,3300
1416,3720
1417,3360
1418,3180
1419,3000
1420,3960
1421,3660
1422,3780
1423,4200
1424,4140
1425,3900
1426,3120
1427,4080
1428,3300
1429,3540
1430,3900
1431,3540
1432,3540
1433,3600
1434,3360
1435,3420
1436,3780
1437,3300
1438,3480
1439,2700
1440,3600
1441,3540
1442,3660
1443,3180
1444,3600
1445,4020
1446,4080
1447,2880
1448,3240
1449,4080
1450,3240
1451,4080
1452,3360
1453,3240
1454,3480
1455,3840
1456,2820
1457,3600
1458,4080
1459,3000
1460,4020
1461,3540
1462,2880
1463,3480
1464,3540
1465,3540
1466,3120
1467,2580
1468,3360
1469,2700
1470,4740
1471,4560
1472,3780
1473,3540
1474,3780
1475,3360
1476,3480
1477,3540
1478,4440
1479,4200
1480,3300
1481,3180
1482,3240
1483,3540
1484,4380
1485,3960
1486,4260
1487,3420
1488,3900
1489,3600
1490,3480
1491,3240
1492,3540
1493,3480
1494,3540
1495,4080
1496,3360
1497,3540
1498,3660
1499,3900
1500,4440
1501,3240
1502,3900
1503,3360
1504,3780
1505,3720
1506,4080
1507,4140
1508,3960
1509,3780
1510,4620
1511,3540
1512,4440
1513,3600
1514,3540
1515,4260
1516,4020
1517,3180
1518,3780
1519,3360
1520,3540
1521,4140
1522,2880
1523,3720
1524,3480
1525,4860
1526,3600
1527,3360
1528,4080
1529,3060
1530,4320
1531,4500
1532,3180
1533,3840
1534,2520
1535,4620
1536,3900
1537,3060
1538,3780
1539,3360
1540,3780
1541,4020
1542,3360
1543,3420
1544,3600
1545,3960
1546,3780
1547,3000
1548,3480
1549,3840
1550,3660
1551,4140
1552,3300
1553,4320
1554,3660
1555,3240
1556,3600
1557,3360
1558,4020
1559,3480
1560,4080
1561,4140
1562,3300
1563,3420
1564,3900
1565,3300
1566,4680
1567,3600
1568,4380
1569,3540
1570,3480
1571,3480
1572,3360
1573,4320
1574,3840
1575,4080
1576,3720
1577,4200
1578,4200
1579,3660
1580,3660
1581,3600
1582,3000
1583,2880
1584,4020
1585,4860
1586,3180
1587,3780
1588,3840
1589,3840
1590,3720
1591,3000
1592,4020
1593,4200
1594,3660
1595,3840
1596,4320
1597,4200
1598,3720
1599,4260
1600,2700
1601,4080
1602,3720
1603,3480
1604,3300
1605,3960
1606,3420
1607,4200
1608,3780
1609,3240
1610,3420
1611,3120
1612,2940
1613,3480
1614,3660
1615,3420
1616,3480
1617,3600
1618,3060
1619,3720
1620,4620
1621,2940
1622,4260
1623,4380
1624,3060
1625,3540
1626,3780
1627,4320
1628,3480
1629,3360
1630,4020
1631,4440
1632,3420
1633,3180
1634,4080
1635,3600
1636,3240
1637,4080
1638,3780
1639,3600
1640,3840
1641,3240
1642,3840
1643,2940
1644,3540
1645,4200
1646,3480
1647,3420
1648,3300
1649,3600
1650,2880
1651,3840
1652,3540
1653,3720
1654,3660
1655,3600
1656,3720
1657,3660
1658,4860
1659,3420
1660,3840
1661,3480
1662,3720
1663,3300
1664,3720
1665,3600
1666,4260
1667,3840
1668,4080
1669,2880
1670,3480
1671,3240
1672,3600
1673,4440
1674,3780
1675,4080
1676,3300
1677,3000
1678,4380
1679,2460
1680,3900
1681,4140
1682,3840
1683,3480
1684,3840
1685,3060
1686,2940
1687,2880
1688,2460
1689,4080
1690,4800
1691,4260
1692,3300
1693,3240
1694,4260
1695,3240
1696,3360
1697,4200
1698,3780
1699,3660
1700,4260
1701,3900
1702,3600
1703,3480
1704,4200
1705,3120
1706,3060
1707,4320
1708,4260
1709,3900
1710,4020
1711,3540
1712,3600
1713,3780
1714,3660
1715,3900
1716,4380
1717,4260
1718,3780
1719,3960
1720,3420
1721,4320
1722,4440
1723,2820
1724,3180
1725,3720
1726,2940
1727,4200
1728,3420
1729,3360
1730,3600
1731,3600
1732,3540
1733,3360
1734,4200
1735,3360
1736,4020
1737,3360
1738,3540
1739,3360
1740,3900
1741,4200
1742,3660
1743,3120
1744,3540
1745,3840
1746,3480
1747,4080
1748,3240
1749,3660
1750,3480
1751,3420
1752,4140
1753,3900
1754,4260
1755,3420
1756,3780
1757,3660
1758,3780
1759,3540
1760,3600
1761,3180
1762,3780
1763,3600
1764,4200
1765,2880
1766,2760
1767,3120
1768,3480
1769,3780
1770,3480
1771,3300
1772,3480
1773,3360
1774,4440
1775,4260
1776,4260
1777,3720
1778,4080
1779,4020
1780,3360
1781,3840
1782,3600
1783,3900
1784,3480
1785,3060
1786,4200
1787,4260
1788,3360
1789,4260
1790,3840
1791,3960
1792,3660
1793,4500
1794,2760
1795,3780
1796,3060
1797,4320
1798,3300
1799,3960
1800,3660
1801,3480
1802,3180
1803,4200
1804,3960
1805,3900
1806,3540
1807,3060
1808,3660
1809,3360
1810,4200
1811,4320
1812,3960
1813,3120
1814,3480
1815,3960
1816,3600
1817,4320
1818,4080
1819,3660
1820,4020
1821,3600
1822,3120
1823,3480
1824,3420
1825,3660
1826,3960
1827,3600
1828,4500
1829,3120
1830,3240
1831,4380
1832,3780
1833,4200
1834,4320
1835,3960
1836,3300
1837,3360
1838,4140
1839,3900
1840,3180
1841,3360
1842,3780
1843,3660
1844,4320
1845,3480
1846,3600
1847,3600
1848,3000
1849,5100
1850,3840
1851,3480
1852,4920
1853,3960
1854,3960
1855,3600
1856,3660
1857,4140
1858,3840
1859,3480
1860,3240
1861,3480
1862,4440
1863,5100
1864,3720
1865,4080
1866,3180
1867,3600
1868,3240
1869,3360
1870,3720
1871,3300
1872,3900
1873,3720
1874,3240
1875,3900
1876,3180
1877,3540
1878,3480
1879,3540
1880,3780
1881,4200
1882,3060
1883,3780
1884,3600
1885,2820
1886,4440
1887,3960
1888,4320
1889,3480
1890,4080
1891,3060
1892,3540
1893,3000
1894,4140
1895,3840
1896,3480
1897,4020
1898,3360
1899,3660
1900,3720
1901,3600
1902,3480
1903,3300
1904,4260
1905,3060
1906,4380
1907,3540
1908,4200
1909,3420
1910,4680
1911,3900
1912,3720
1913,3540
1914,3780
1915,3240
1916,4560
1917,3840
1918,3600
1919,3060
1920,3780
1921,3720
1922,2940
1923,3120
1924,3420
1925,3420
1926,3360
1927,3840
1928,3840
1929,2880
1930,4380
1931,3360
1932,3960
1933,3900
1934,3060
1935,3420
1936,3540
1937,4320
1938,3720
1939,3840
1940,4260
1941,4020
1942,3720
1943,4200
1944,3180
1945,3840
1946,3600
1947,3720
1948,4620
1949,3420
1950,3540
1951,4020
1952,4020
1953,3420
1954,3840
1955,3180
1956,3420
1957,4380
1958,3300
1959,3000
1960,4020
1961,3960
1962,3180
1963,3900
1964,3240
1965,3900
1966,3780
1967,3840
1968,3660
1969,4380
1970,4320
1971,3540
1972,3180
1973,3660
1974,3000
1975,3900
1976,3720
1977,3900
1978,3000
1979,2700
1980,3060
1981,4080
1982,4020
1983,3420
1984,4200
1985,2940
1986,3240
1987,4320
1988,4380
1989,4140
1990,3960
1991,3300
1992,4200
1993,3000
1994,3840
1995,3300
1996,3900
1997,4260
1998,3960
1999,4140
2000,3300
2001,4080
2002,4020
2003,4260
2004,4860
2005,3420
2006,3960
2007,3780
2008,4140
2009,4680
2010,3420
2011,4440
2012,3780
2013,2520
2014,4140
