Seconds,Location_Update
0,104800
1,102400
2,104800
3,111200
4,115200
5,94400
6,98400
7,96800
8,102400
9,104000
10,100800
11,125600
12,112800
13,111200
14,108000
15,128800
16,111200
17,124000
18,128800
19,104800
20,106400
21,108800
22,120000
23,122400
24,127200
25,169600
26,140800
27,120800
28,138400
29,126400
30,123200
31,142400
32,137600
33,117600
34,129600
35,129600
36,135200
37,128800
38,125600
39,135200
40,135200
41,128000
42,130400
43,150400
44,112800
45,132800
46,112800
47,102400
48,116000
49,127200
50,103200
51,123200
52,116800
53,108800
54,120000
55,116000
56,138400
57,136000
58,114400
59,101600
60,100800
61,114400
62,139200
63,121600
64,120800
65,112800
66,105600
67,124000
68,132800
69,135200
70,126400
71,118400
72,115200
73,142400
74,127200
75,136000
76,112000
77,140000
78,131200
79,137600
80,131200
81,128000
82,136800
83,138400
84,112800
85,123200
86,120000
87,128800
88,117600
89,129600
90,133600
91,104800
92,99200
93,120800
94,108800
95,127200
96,120800
97,124800
98,109600
99,137600
100,121600
101,127200
102,111200
103,123200
104,115200
105,128000
106,124800
107,120800
108,124800
109,103200
110,118400
111,137600
112,117600
113,108000
114,134400
115,116000
116,128800
117,111200
118,122400
119,125600
120,131200
121,121600
122,140800
123,133600
124,118400
125,134400
126,126400
127,126400
128,119200
129,146400
130,132000
131,122400
132,114400
133,128800
134,116000
135,116800
136,120000
137,109600
138,124800
139,127200
140,120000
141,121600
142,117600
143,127200
144,117600
145,123200
146,128000
147,120800
148,113600
149,124800
150,120000
151,112800
152,139200
153,120800
154,126400
155,112000
156,116800
157,127200
158,110400
159,130400
160,121600
161,119200
162,136000
163,100000
164,120800
165,110400
166,132000
167,125600
168,128800
169,132000
170,127200
171,132000
172,112000
173,103200
174,120000
175,122400
176,120000
177,120000
178,145600
179,112000
180,128000
181,118400
182,104000
183,123200
184,118400
185,145600
186,124000
187,129600
188,114400
189,107200
190,128000
191,118400
192,120800
193,113600
194,116000
195,120800
196,124000
197,119200
198,132000
199,118400
200,120800
201,114400
202,118400
203,128800
204,115200
205,103200
206,104800
207,122400
208,116800
209,116800
210,134400
211,126400
212,119200
213,124800
214,110400
215,124800
216,105600
217,126400
218,147200
219,129600
220,132800
221,123200
222,137600
223,120800
224,124800
225,136000
226,117600
227,108800
228,117600
229,124800
230,109600
231,112800
232,112000
233,119200
234,116000
235,104000
236,111200
237,116800
238,134400
239,149600
240,140000
241,106400
242,121600
243,101600
244,118400
245,132000
246,130400
247,124000
248,126400
249,120800
250,116000
251,111200
252,122400
253,113600
254,128000
255,119200
256,108000
257,117600
258,114400
259,125600
260,100000
261,123200
262,136800
263,112000
264,123200
265,107200
266,129600
267,130400
268,129600
269,116000
270,110400
271,114400
272,128800
273,140000
274,129600
275,118400
276,111200
277,122400
278,116800
279,122400
280,132800
281,116800
282,116000
283,140000
284,144000
285,124000
286,121600
287,128800
288,110400
289,104000
290,117600
291,124800
292,116800
293,120800
294,132000
295,125600
296,108000
297,97600
298,117600
299,124000
300,113600
301,112000
302,112800
303,110400
304,128000
305,122400
306,109600
307,116000
308,116000
309,139200
310,122400
311,125600
312,136000
313,132000
314,120000
315,122400
